0.00 64 621
0.04 64 621
0.08 64 621
0.13 64 621
0.17 64 621
0.21 64 621
0.25 65 621
0.29 66 621
0.33 69 621
0.38 72 621
0.42 77 621
0.46 82 621
0.50 88 621
0.54 96 621
0.58 105 621
0.63 115 621
0.67 125 621
0.71 137 621
0.75 151 621
0.79 165 621
0.83 180 621
0.88 197 621
0.92 213 621
0.96 231 621
1.00 247 621
1.04 267 621
1.08 287 621
1.13 307 620
1.17 327 620
1.21 347 621
1.25 366 621
1.29 384 621
1.33 404 621
1.38 422 622
1.42 441 621
1.46 462 580
1.50 487 535
1.54 513 493
1.58 542 451
1.63 574 406
1.67 607 366
1.71 640 327
1.75 673 292
1.79 709 259
1.83 742 229
1.88 777 204
1.92 813 182
1.96 849 160
2.00 885 144
2.04 923 132
2.08 960 124
2.13 996 118
2.17 1032 116
2.21 1070 119
2.25 1107 126
2.29 1143 135
2.33 1179 148
2.38 1211 159
2.42 1204 135
2.46 1198 113
2.50 1192 91
2.54 1186 71
2.58 1180 55
2.63 1174 43
2.67 1170 38
2.71 1166 38
2.75 1162 41
2.79 1159 52
2.83 1156 68
2.88 1155 89
2.92 1153 114
2.96 1152 143
3.00 1150 175
3.04 1150 210
3.08 1151 241
3.13 1153 254
3.17 1151 230
3.21 1151 203
3.25 1151 177
3.29 1151 151
3.33 1151 126
3.38 1151 102
3.42 1151 82
3.46 1151 64
3.50 1150 49
3.54 1150 39
3.58 1150 34
3.63 1151 32
3.67 1151 31
3.71 1150 32
3.75 1150 36
3.79 1150 40
3.83 1150 46
3.88 1150 52
3.92 1149 58
3.96 1112 53
4.00 1071 50
4.04 1031 48
4.08 994 48
4.13 957 45
4.17 920 44
4.21 883 44
4.25 846 45
4.29 812 44
4.33 779 44
4.38 746 43
4.42 715 43
4.46 686 42
4.50 658 43
4.54 632 43
4.58 610 43
4.63 591 43
4.67 575 43
4.71 565 43
4.75 559 43
4.79 558 43
4.83 560 43
4.88 564 42
4.92 571 42
4.96 578 42
5.00 588 43
5.04 596 43
5.08 604 43
5.13 610 43
5.17 615 44
5.21 575 47
5.25 538 40
5.29 503 35
5.33 468 31
5.38 434 29
5.42 399 28
5.46 364 29
5.50 327 32
5.54 291 39
5.58 257 52
5.63 224 69
5.67 193 91
5.71 164 115
5.75 135 142
5.79 110 170
5.83 83 202
5.88 74 239
5.92 81 281
5.96 88 322
6.00 92 367
6.04 95 414
6.08 96 462
6.13 96 508
6.17 96 552
6.21 97 544
6.25 98 527
6.29 98 512
6.33 97 501
6.38 97 495
6.42 97 495
6.46 97 500
6.50 98 513
6.54 98 531
6.58 99 553
6.63 102 582
6.67 118 617
6.71 147 618
6.75 176 619
6.79 202 619
6.83 227 620
6.88 250 621
6.92 272 621
6.96 294 621
7.00 313 621
7.04 331 621
7.08 346 621
7.13 358 620
7.17 367 620
7.21 375 621
7.25 379 620
7.29 384 620
7.33 386 620
7.38 389 620
7.42 394 620
7.46 400 620
7.50 407 620
7.54 416 621
7.58 427 621
7.63 440 621
7.67 452 621
7.71 467 621
7.75 483 621
7.79 500 620
7.83 518 620
7.88 537 621
7.92 555 621
7.96 574 621
